연번,호선,역명,장비,호기,승강기번호,운행구간(공사기준),설치위치,운행구간(자체조사)
682,5,영등포구청,E/S,13,1812-609,B3-B4,내부,
683,5,영등포구청,E/S,14,1812-610,B3-B4,내부,
684,5,영등포시장,E/S,1,1804-459,B3-B5,내부,중앙/대합(B5)-대합(B3)
685,5,영등포시장,E/S,2,1804-460,B3-B5,내부,중앙/대합(B5)-대합(B3)
686,5,영등포시장,E/S,3,1809-955,B1-B2,내부,대합(B2)-대합(B1)
687,5,영등포시장,E/S,4,1809-954,B1-B2,내부,대합(B2)-대합(B1)
688,5,영등포시장,E/S,5,1809-960,B2-B3,내부,대합(B3)-대합(B2)
689,5,영등포시장,E/S,6,1809-961,B2-B3,내부,대합(B3)-대합(B2)
690,5,영등포시장,E/S,7,1814-607,F1-B1,외부,대합(B1)-지상(#2 출구)
691,5,영등포시장,E/S,8,1814-608,F1-B1,외부,대합(B1)-지상(#2 출구)
692,5,신길,E/S,1,1804-421,F1-B3,외부,대합(B3)-지상(#3 출구)
693,5,신길,E/S,2,1804-422,F1-B3,외부,대합(B3)-지상(#3 출구)
694,5,신길,E/S,3,1804-423,B1(환승)-B3,내부,5환승(B3)-1환승(B1)
695,5,신길,E/S,4,1804-424,B1(환승)-B3,내부,5환승(B3)-1환승(B1)
696,5,신길,E/S,5,1804-425,B1(환승)-B3,내부,5환승(B3)-1환승(B1)
697,5,신길,E/S,6,1804-426,B1(환승)-B3,내부,5환승(B3)-1환승(B1)
698,5,신길,E/S,7,1804-427,B3-B4,내부,하/시/승강(B4)-환승(B3)
699,5,신길,E/S,8,1804-428,B3-B4,내부,하/시/승강(B4)-환승(B3)
700,5,신길,E/S,9,1804-429,B3-B4,내부,상/종/승강(B4)-환승(B3)
701,5,여의도,E/S,1,1804-452,B1-B3,내부,중앙(B3)-대합(B1)
702,5,여의도,E/S,2,1804-453,B1-B3,내부,중앙(B3)-대합(B1)
703,5,여의도,E/S,3,1804-454,B1-B3,내부,중앙(B3)-대합(B1)
704,5,여의도,E/S,4,1804-455,B1-B3,내부,중앙(B3)-대합(B1)
705,5,여의나루,E/S,1,1808-383,B2-B4,내부,중앙(B4)-대합(B2)
706,5,여의나루,E/S,2,1808-384,B2-B4,내부,중앙(B4)-대합(B2)
707,5,여의나루,E/S,3,1808-385,B2-B4,내부,중앙(B4)-대합(B2)
708,5,여의나루,E/S,4,1808-386,B2-B4,내부,중앙(B4)-대합(B2)
709,5,여의나루,E/S,5,1808-379,B1-B2,내부,중앙(B3)-대합(B1)
710,5,여의나루,E/S,6,1808-378,B1-B2,내부,중앙(B3)-대합(B1)
711,5,여의나루,E/S,7,1808-380,BM1-B1,내부,대합(B1)-BM1
712,5,여의나루,E/S,8,1808-381,BM1-B1,내부,대합(B1)-BM1
713,5,여의나루,E/S,9,1808-382,BM1-B1,내부,대합(B1)-BM1
714,5,여의나루,E/S,10,1808-296,F1-BM1,외부,BM1-지상(#4 출구)
715,5,여의나루,E/S,11,1808-297,F1-BM1,외부,BM1-지상(#4 출구)
716,5,마포,E/S,1,1808-186,B1-B3,내부,대합(B1)-B3(중앙)
717,5,마포,E/S,2,1808-187,B1-B3,내부,대합(B1)-B3(중앙)
718,5,마포,E/S,3,1800-849,B1-B3,내부,대합(B1)-B3(중앙)
719,5,마포,E/S,4,1800-850,B1-B3,내부,대합(B1)-B3(중앙)
720,5,마포,E/S,5,1800-568,F1-B1,외부,대합(B1)-지상(#2 출구)
721,5,마포,E/S,6,1800-569,F1-B1,외부,대합(B1)-지상(#2 출구)
722,5,마포,E/S,7,1801-001,B3-B4(DN),내부,대합(B4)-중앙(B3)
723,5,마포,E/S,8,1801-002,B3-B4(UP),내부,대합(B4)-중앙(B3)
724,5,마포,E/S,9,1800-848,F1-B1(UP),외부,대합(B1)-지상(#3 출구)
725,5,마포,E/S,10,1800-847,F1-B1(DN),외부,대합(B1)-지상(#3 출구)
726,5,공덕,E/S,1,1808-903,B2-B3(환승통로),내부,중앙/승강(B3)-6(종)환승(B2)
727,5,공덕,E/S,2,1808-904,B2-B3(환승통로),내부,중앙/승강(B3)-6(종)환승(B2)
728,5,공덕,E/S,3,1808-905,B2-B3(환승통로),내부,중앙/승강(B3)-6(시)환승(B2)
729,5,공덕,E/S,4,1808-906,B2-B3(환승통로),내부,중앙/승강(B3)-6(시)환승(B2)
730,5,공덕,E/S,5,1800-482,"B1,B2",내부,시/대(B2)-시/대(B1)
731,5,공덕,E/S,6,1800-483,"B1,B2",내부,시/대(B2)-시/대(B1)
732,5,공덕,E/S,7,1808-907,"B1,B2",내부,종/대(B2)-종/대(B1)
733,5,공덕,E/S,8,1808-908,"B1,B2",내부,종/대(B2)-종/대(B1)
734,5,공덕,E/S,9,1808-909,F1-B1,외부,대합(B1)-지상(#4 출구)
735,5,공덕,E/S,10,1808-910,F1-B1,외부,대합(B1)-지상(#4 출구)
